date,week,block,weekemail,dayemail,signups,weekday
10/20/18,11,4,0,0,0,Saturday
10/21/18,11,4,0,0,0,Sunday
10/22/18,12,4,2,1,2,Monday
10/23/18,12,4,2,1,0,Tuesday
10/24/18,12,4,2,0,1,Wednesday
10/25/18,12,4,2,0,1,Thursday
10/26/18,12,4,2,0,0,Friday
10/27/18,12,4,2,0,0,Saturday
10/28/18,12,4,2,0,0,Sunday
10/29/18,13,5,2,1,0,Monday
10/30/18,13,5,2,1,0,Tuesday
10/31/18,13,5,2,0,1,Wednesday
11/1/18,13,5,2,0,0,Thursday
11/2/18,13,5,2,0,0,Friday
11/3/18,13,5,2,0,0,Saturday
11/4/18,13,5,2,0,1,Sunday
11/5/18,14,5,0,0,3,Monday
11/6/18,14,5,0,0,1,Tuesday
11/7/18,14,5,0,0,0,Wednesday
11/8/18,14,5,0,0,0,Thursday
11/9/18,14,5,0,0,0,Friday
11/10/18,14,5,0,0,0,Saturday
11/11/18,14,5,0,0,0,Sunday
11/12/18,15,5,1,0,0,Monday
11/13/18,15,5,1,0,1,Tuesday
11/14/18,15,5,1,1,0,Wednesday
11/15/18,15,5,1,0,1,Thursday
11/16/18,15,5,1,0,0,Friday
11/17/18,15,5,1,0,0,Saturday
11/18/18,15,5,1,0,1,Sunday
11/19/18,16,6,0,0,4,Monday
11/20/18,16,6,0,0,1,Tuesday
11/21/18,16,6,0,0,0,Wednesday
11/22/18,16,6,0,0,0,Thursday
11/23/18,16,6,0,0,1,Friday
11/24/18,16,6,0,0,0,Saturday
11/25/18,16,6,0,0,1,Sunday
11/26/18,17,6,1,0,2,Monday
11/27/18,17,6,1,0,3,Tuesday
11/28/18,17,6,1,1,2,Wednesday
11/29/18,17,6,1,0,1,Thursday
11/30/18,17,6,1,0,0,Friday
12/1/18,17,6,1,0,0,Saturday
12/2/18,17,6,1,0,0,Sunday
12/3/18,18,6,2,1,1,Monday
12/4/18,18,6,2,0,0,Tuesday
12/5/18,18,6,2,0,1,Wednesday
12/6/18,18,6,2,0,0,Thursday
12/7/18,18,6,2,1,1,Friday
12/8/18,18,6,2,0,0,Saturday
12/9/18,18,6,2,0,2,Sunday
12/10/18,19,7,1,0,1,Monday
12/11/18,19,7,1,0,2,Tuesday
12/12/18,19,7,1,1,1,Wednesday
12/13/18,19,7,1,0,0,Thursday
12/14/18,19,7,1,0,1,Friday
12/15/18,19,7,1,0,0,Saturday
12/16/18,19,7,1,0,0,Sunday
12/17/18,20,7,0,0,0,Monday
12/18/18,20,7,0,0,2,Tuesday
12/19/18,20,7,0,0,1,Wednesday
12/20/18,20,7,0,0,0,Thursday
12/21/18,20,7,0,0,0,Friday
12/22/18,20,7,0,0,0,Saturday
12/23/18,20,7,0,0,1,Sunday
,,,,,,
